url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb8636066z/_2.jpg,Zhi qu Weihu Shan: ge min xian dai jing ju,,1970
http://library.ucsd.edu/dc/object/bb6622397m/_2.jpg,Jin mi di tuan jie zai yi Hua zhu xi wei shou de dang zhong yang zhou wei duo qu geng da de sheng li,"China, Zhongguo ren min jie fang jun., Bu dui, 37001",1977
http://library.ucsd.edu/dc/object/bb11615959/_2.jpg,"Yan zhe Mao zhu xi ""Wu qi zhi shi"" de guang hui da dao fen yong qian jin!",Zhongguo ren min ge ming jun shi bo wu guan,1971
http://library.ucsd.edu/dc/object/bb3755476c/_2.jpg,"Ni ban shi, wo fang xin: Ni ban shi, wo fang xin","Chen, Beixin, 1932-; Huang, Naiyuan, 1931-2004; Liu, Wenxi, 1933-; Qin, Dajian",1977
http://library.ucsd.edu/dc/object/bb8363024v/_2.jpg,Sheng li qian jin,,1970
http://library.ucsd.edu/dc/object/bb67247873/_2.jpg,"Da yi ling ran, ning si bu qu",,1970
http://library.ucsd.edu/dc/object/bb0274215r/_2.jpg,Zhi qu Weihu Shan: ge min xian dai jing ju,,1970
http://library.ucsd.edu/dc/object/bb5769145q/_2.jpg,Ji nian Baiqiu'en,"Beijing dian ying xue yuan, Dong fang hong gong she., Hong hua bing; Shou du da zhuan yuan xiao hong dai hui",1967
http://library.ucsd.edu/dc/object/bb0547258c/_2.jpg,Si ye bu zuo nu li,,1971
http://library.ucsd.edu/dc/object/bb9250405j/_2.jpg,Tian han xin nuan,"Wang, Renjie",1977
http://library.ucsd.edu/dc/object/bb9591707w/_2.jpg,Wu xian feng guang zai xian feng,"Pan, Jinba, 1939-; Xia, Ye",1976
http://library.ucsd.edu/dc/object/bb31752655/_2.jpg,Hun shen shi dan xiong jiu jiu,,1970
http://library.ucsd.edu/dc/object/bb5427847h/_2.jpg,Chun man da di,"Wu, Yunhua, 1944-",1976
http://library.ucsd.edu/dc/object/bb7339126c/_2.jpg,Yi wan ren min de gong tong xin yuan: re lie qing zhu Mao zhu xi ji nian tang sheng li jian cheng,"Cui, Kaixi; Gao, Quan",1977
http://library.ucsd.edu/dc/object/bb69978256/_2.jpg,Hong deng ji: ge ming xian dai jing ju,,1970
http://library.ucsd.edu/dc/object/bb8909104m/_2.jpg,"Sheng ming bu xi, chong feng bu zhi","Zhongguo ren min ge ming jun shi bo wu guan, Mei shu zu",1970
http://library.ucsd.edu/dc/object/bb24585379/_2.jpg,Wu chan jie ji zhuan zheng wan sui!: Long live the dictatorship of the proletariat! = Vive la dictature du prolétariat! = Es lebe die Diktatur des Proletariats!,Shanghai ren min chu ban she,1968
http://library.ucsd.edu/dc/object/bb73049943/_2.jpg,Qian li ye ying lian hong xin,"Shanghai bo li qi min 3 chang, Ge wei hui., Zheng xuan zu; Xuhui Qu fang wu xiu jian gong si, Di 3 gong cheng dui., Ge wei hui., Zheng xuan zu",1971
http://library.ucsd.edu/dc/object/bb7953464z/_2.jpg,Fa yang ge ming chuan tong yong yuan qian jin,"Beijing niang jiu zong chang, Ye yu mei shu zu",1971
http://library.ucsd.edu/dc/object/bb3072875r/_2.jpg,Rang zhe xue bian wei qun zhong shou li de jian rui wu qi,Beijing Shi 76 zhong xue,1971
http://library.ucsd.edu/dc/object/bb2219625f/_2.jpg,Ta bian qing shan,"Jiang, Huaqing",1977
http://library.ucsd.edu/dc/object/bb4438075t/_2.jpg,Fei bing qi xi Shangjiabang,,1970
http://library.ucsd.edu/dc/object/bb56667559/_2.jpg,Zhi qu Weihu Shan: ge min xian dai jing ju,,1970
http://library.ucsd.edu/dc/object/bb50865464/_2.jpg,Hong deng ji: ge ming xian dai jing ju,,1970
http://library.ucsd.edu/dc/object/bb57350172/_2.jpg,Hong deng ji: ge ming xian dai jing ju,,1970
http://library.ucsd.edu/dc/object/bb1571154t/_2.jpg,Liang bu wan de xin tian,"Liao, Liangui",1974
http://library.ucsd.edu/dc/object/bb1844196x/_2.jpg,Chang cheng hao han,"Wen, Jun; Yulin Diqu ge ming wei yuan hui, Wen jiao ju",1974
http://library.ucsd.edu/dc/object/bb4096774h/_2.jpg,Baiqiu'en,Shanghai ge ming jiao yu chu ban she,1968
http://library.ucsd.edu/dc/object/bb4779376n/_2.jpg,Feng shou mang,"Qin, Yongchun",1968
http://library.ucsd.edu/dc/object/bb3141135g/_2.jpg,Shan cun yun dong hui,"Wen, Guoliang",1975
http://library.ucsd.edu/dc/object/bb4369815q/_2.jpg,Bali gong she wan sui!: ji nian Bali gong she yi bai zhou nian,"Shanghai xi ju xue yuan, Ge wei hui",1971
http://library.ucsd.edu/dc/object/bb0615515m/_2.jpg,Hua Guofeng zhu xi,,1976
http://library.ucsd.edu/dc/object/bb1229854b/_2.jpg,Fu shou ru yi,"An, Weixin; Tianjin Yangliuqing hua she",1989
http://library.ucsd.edu/dc/object/bb6690655t/_2.jpg,Dui li xin shi hua bu wan,"Min, Caibin; Nanhui Xian ye yu mei shu chuang zuo zu",1977
http://library.ucsd.edu/dc/object/bb8977365r/_2.jpg,"We da de dao shi, wei da de ling xiu, we da de tong shuai, wei da de duo shou, Mao zhu xi wan sui!",,1967
http://library.ucsd.edu/dc/object/bb0513124m/_2.jpg,Hong deng ji: ge ming xian dai jing ju,,1970
