url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb09909848/_2.jpg,Boleta Electoral Para Representantes A La Asamblea Nacional Región V,Consejo Supremo Electoral (Nicaragua),between 1984 and 2009
http://library.ucsd.edu/dc/object/bb4745282t/_2.jpg,PSC (with Fish emblem),Partido Socialcristiano Nicaragüense,between 1984 and 2009
http://library.ucsd.edu/dc/object/bb51548418/_2.jpg,Carlos Flores Presidente,"Flores Facussé, Carlos; Partido Liberal de Honduras",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb8806753m/_2.jpg,"Un cambio seguro, Mauricio Presidente","Frente Farabundo Martí para la Liberación Nacional; Funes, Carlos Mauricio",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb3926164g/_2.jpg,Rolando Presidente PLN,"Araya Monge, Rolando, 1947-; Partido Liberación Nacional",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb8226542d/_2.jpg,Tu Voto Decide,Consejo Supremo Electoral (Nicaragua),between 1984 and 2009
http://library.ucsd.edu/dc/object/bb24585756/_2.jpg,Ahora le toca a la gente!,"Frente Republicano Guatemalteco; Rabbé, Luis, 1956-",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb3755513c/_2.jpg,Oye Managua con Sandino,Frente Sandinista de Liberación Nacional,between 1984 and 2009
http://library.ucsd.edu/dc/object/bb5973964b/_2.jpg,Mauricio Presidente,"Frente Farabundo Martí para la Liberación Nacional; Funes, Carlos Mauricio",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb55985310/_2.jpg,Nora; porque quere y entiende al pueblo,,between 1984 and 2009
http://library.ucsd.edu/dc/object/bb3004654j/_2.jpg,"Alcalde Lic. Carlos López, Santiago Nonualco",Frente Farabundo Martí para la Liberación Nacional,between 1984 and 2009
http://library.ucsd.edu/dc/object/bb5257231p/_2.jpg,"Presionar, Amenazar, Obligar o Condicionar tu voto son delitos; denúncialos - El voto es tu mejor voz",Instituto Federal Electoral (Mexico),between 1984 and 2009
http://library.ucsd.edu/dc/object/bb5325495x/_2.jpg,Defendamos el colón a la dolarización,Frente Farabundo Martí para la Liberación Nacional,between 1984 and 2009
http://library.ucsd.edu/dc/object/bb88408842/_2.jpg,El cambio es hoy!,"Frente Farabundo Martí para la Liberación Nacional; Mata Bennett, Guillermo",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb2151405f/_2.jpg,Boleta Electoral Para Representantes A La Asamblea Nacional Zona Especial III,Consejo Supremo Electoral (Nicaragua),between 1984 and 2009
http://library.ucsd.edu/dc/object/bb4028552s/_2.jpg,"Sabemos algo, ignoramos algo... Paulo Freire","Centro de Documentación Tania Valentina Parada. Instituto de Investigación, Capacitación, y Desarrollo de la Mujer; Freire, João Paulo",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb08203324/_2.jpg,Luchamos por la justicia social en libertad,Partido Liberal de Unidad Nacional (Nicaragua),between 1984 and 2009
http://library.ucsd.edu/dc/object/bb1502935q/_2.jpg,Voto Verde,Partido Conservador Demócrata de Nicaragua,between 1984 and 2009
http://library.ucsd.edu/dc/object/bb5018325x/_2.jpg,María Ramírez,"Frente Sandinista De Liberacion Nacional; Ramiírez, María",between 1984 and 2009
http://library.ucsd.edu/dc/object/bb3345952t/_2.jpg,El seguro siempre ha sido mi prioridad,"Martinelli Berrocal, Ricardo Alberto, 1952-; Partido Cambio Democrático (Panama)",between 1984 and 2009
