url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb6758788d/_2.jpg,Herbert York speaking at the Revelle College dedication ceremony,,"October 1, 1965"
http://library.ucsd.edu/dc/object/bb65540061/_2.jpg,Students meeting in lecture hall for Constitutional Convention,,"November 20, 1964"
http://library.ucsd.edu/dc/object/bb6554007j/_2.jpg,Student Senate meeting,,"February, 1965"
http://library.ucsd.edu/dc/object/bb5734889n/_2.jpg,UC President Clark Kerr speaking at Chancellor Galbraith's inauguration ceremony,,"November 5, 1965"
http://library.ucsd.edu/dc/object/bb5803146t/_2.mp4,"University of California, San Diego: The Beginning [Reel #1]",,1963-1967
http://library.ucsd.edu/dc/object/bb5803147b/_2.jpg,Students at a registration table,,"June, 1965"
http://library.ucsd.edu/dc/object/bb5530111n/_2.jpg,"Revelle College, looking northeast",,"April, 1965"
http://library.ucsd.edu/dc/object/bb55642390/_2.jpg,"Revelle College campus looking northeast and showing Urey Hall, Bonner Hall, Mayer Hall, and Galbraith Hall",,"November, 1964"
http://library.ucsd.edu/dc/object/bb55983664/_2.jpg,"Galbraith Hall and Revelle College Residence Halls, looking south",,"October, 1966"
http://library.ucsd.edu/dc/object/bb5291196r/_2.jpg,Student fills out a form,,"June, 1965"
http://library.ucsd.edu/dc/object/bb54959756/_2.jpg,Students and staff watching the watermelon drop from Urey Hall,,"June 4, 1965"
http://library.ucsd.edu/dc/object/bb5666629g/_2.jpg,Students playing tennis on Matthews campus tennis courts,,"December, 1964"
http://library.ucsd.edu/dc/object/bb5700757x/_2.jpg,UCSD administrative assistant,,"April, 1965"
http://library.ucsd.edu/dc/object/bb5359459v/_2.jpg,Revelle College Provost Edward D. Goldberg,,"April, 1965"
http://library.ucsd.edu/dc/object/bb53253300/_2.jpg,Pouring cement walls and walkways near Mayer Hall,,January 1966
http://library.ucsd.edu/dc/object/bb53935867/_2.jpg,Student Senate meeting,,"February, 1965"
http://library.ucsd.edu/dc/object/bb5461850d/_2.jpg,"Mayer Hall in foreground and undeveloped mesas of University City in background, looking southeast",,"January, 1964"
http://library.ucsd.edu/dc/object/bb3721218t/_2.jpg,Revelle College parking lot,,"February, 1965"
http://library.ucsd.edu/dc/object/bb36870876/_2.jpg,Student Senate meeting,,"February, 1965"
