url,full_title_tesim,spotlight_upload_attribution_tesim,spotlight_upload_date_tesim
http://library.ucsd.edu/dc/object/bb7338922g/_2.jpg,Gilbert and Baker advertisement,"Gilbert and Baker; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb20146402/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb6178503r/_2.jpg,National Broadcasting Company Vital Spots advertisement,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb2765501x/_2.jpg,Ford Motor Company advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb9591501w/_2.jpg,Standard Oil Company - Essomarine advertisement,"Seuss, Dr.; Standard Oil Company",1930-1940
http://library.ucsd.edu/dc/object/bb7577831s/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb7885003c/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb24583319/_2.jpg,National Broadcasting Company Vital Spots advertisement,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb54276421/_2.jpg,Flit advertisement proof,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb3721140p/_2.jpg,National Broadcasting Company Vital Spots advertisement,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb6212630p/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb09224804/_2.jpg,National Broadcasting Company Vital Spots advertisement,"National Broadcasting Company, inc; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb4676781r/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb52228624/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
http://library.ucsd.edu/dc/object/bb4369611r/_2.jpg,Flit advertisement,"Flit; Seuss, Dr.",1930-1940
